,quote,author
0,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen
1,“Do one thing every day that scares you.”,Eleanor Roosevelt
2,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe
3,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein
4,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami
5,“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils
6,"“He's like a drug for you, Bella.”",Stephenie Meyer
7,“There is no friend as loyal as a book.”,Ernest Hemingway
8,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller
9,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw
10,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen
11,“Do one thing every day that scares you.”,Eleanor Roosevelt
12,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe
13,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein
14,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami
15,“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils
16,"“He's like a drug for you, Bella.”",Stephenie Meyer
17,“There is no friend as loyal as a book.”,Ernest Hemingway
18,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller
19,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw
20,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen
21,“Do one thing every day that scares you.”,Eleanor Roosevelt
22,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe
23,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein
24,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami
25,“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils
26,"“He's like a drug for you, Bella.”",Stephenie Meyer
27,“There is no friend as loyal as a book.”,Ernest Hemingway
28,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller
29,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw
30,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen
31,“Do one thing every day that scares you.”,Eleanor Roosevelt
32,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe
33,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein
