,quote,author
0,casa,Jue 30.01.2020
1,casa,Jue 30.01.2020
2,casa,Jue 30.01.2020
3,casa,Jue 30.01.2020
4,casa,Jue 30.01.2020
5,casa,Jue 30.01.2020
6,casa,Jue 30.01.2020
7,casa,Jue 30.01.2020
8,casa,Jue 30.01.2020
9,casa,Jue 30.01.2020
10,casa,Jue 30.01.2020
11,casa,Jue 30.01.2020
12,casa,Jue 30.01.2020
13,casa,Jue 30.01.2020
14,casa,Jue 30.01.2020
15,casa,Jue 30.01.2020
16,casa,Jue 30.01.2020
17,casa,Jue 30.01.2020
18,casa,Jue 30.01.2020
19,casa,Jue 30.01.2020
20,casa,Jue 30.01.2020
21,casa,Jue 30.01.2020
22,casa,Jue 30.01.2020
23,casa,Jue 30.01.2020
24,casa,Jue 30.01.2020
25,casa,Jue 30.01.2020
26,casa,Jue 30.01.2020
27,casa,Jue 30.01.2020
28,casa,Jue 30.01.2020
29,casa,Jue 30.01.2020
30,casa,Jue 30.01.2020
31,casa,Jue 30.01.2020
32,casa,Jue 30.01.2020
33,casa,Jue 30.01.2020
34,casa,Jue 30.01.2020
35,casa,Jue 30.01.2020
36,casa,Jue 30.01.2020
